date,time,unix_time,power,id,type
19/3/20,00:06:23,1584576383.0,0.0,tasklamp_5,tasklamp
19/3/20,00:07:23,1584576443.0,0.0,tasklamp_5,tasklamp
19/3/20,00:08:23,1584576503.0,0.0,tasklamp_5,tasklamp
19/3/20,00:09:23,1584576563.0,0.0,tasklamp_5,tasklamp
19/3/20,00:10:24,1584576624.0,0.0,tasklamp_5,tasklamp
19/3/20,00:11:25,1584576685.0,0.0,tasklamp_5,tasklamp
19/3/20,00:12:23,1584576743.0,0.0,tasklamp_5,tasklamp
19/3/20,00:13:23,1584576803.0,0.0,tasklamp_5,tasklamp
19/3/20,00:14:23,1584576863.0,0.0,tasklamp_5,tasklamp
19/3/20,00:15:23,1584576923.0,0.0,tasklamp_5,tasklamp
19/3/20,00:17:23,1584577043.0,0.0,tasklamp_5,tasklamp
19/3/20,00:19:23,1584577163.0,0.0,tasklamp_5,tasklamp
19/3/20,00:21:23,1584577283.0,0.0,tasklamp_5,tasklamp
19/3/20,00:22:23,1584577343.0,0.0,tasklamp_5,tasklamp
19/3/20,00:23:23,1584577403.0,0.0,tasklamp_5,tasklamp
19/3/20,00:24:23,1584577463.0,0.0,tasklamp_5,tasklamp
19/3/20,00:25:23,1584577523.0,0.0,tasklamp_5,tasklamp
19/3/20,00:27:23,1584577643.0,0.0,tasklamp_5,tasklamp
19/3/20,00:28:23,1584577703.0,0.0,tasklamp_5,tasklamp
19/3/20,00:29:23,1584577763.0,0.0,tasklamp_5,tasklamp
19/3/20,00:30:23,1584577823.0,0.0,tasklamp_5,tasklamp
19/3/20,00:31:23,1584577883.0,0.0,tasklamp_5,tasklamp
19/3/20,00:32:23,1584577943.0,0.0,tasklamp_5,tasklamp
19/3/20,00:34:23,1584578063.0,0.0,tasklamp_5,tasklamp
19/3/20,00:35:23,1584578123.0,0.0,tasklamp_5,tasklamp
19/3/20,00:36:23,1584578183.0,0.0,tasklamp_5,tasklamp
19/3/20,00:37:23,1584578243.0,0.0,tasklamp_5,tasklamp
19/3/20,00:38:23,1584578303.0,0.0,tasklamp_5,tasklamp
19/3/20,00:39:23,1584578363.0,0.0,tasklamp_5,tasklamp
19/3/20,00:40:23,1584578423.0,0.0,tasklamp_5,tasklamp
19/3/20,00:42:23,1584578543.0,0.0,tasklamp_5,tasklamp
19/3/20,00:43:23,1584578603.0,0.0,tasklamp_5,tasklamp
19/3/20,00:44:23,1584578663.0,0.0,tasklamp_5,tasklamp
19/3/20,00:46:23,1584578783.0,0.0,tasklamp_5,tasklamp
19/3/20,00:47:23,1584578843.0,0.0,tasklamp_5,tasklamp
19/3/20,00:48:25,1584578905.0,0.0,tasklamp_5,tasklamp
19/3/20,00:49:25,1584578965.0,0.0,tasklamp_5,tasklamp
19/3/20,00:50:24,1584579024.0,0.0,tasklamp_5,tasklamp
19/3/20,00:51:23,1584579083.0,0.0,tasklamp_5,tasklamp
19/3/20,00:53:23,1584579203.0,0.0,tasklamp_5,tasklamp
19/3/20,00:55:23,1584579323.0,0.0,tasklamp_5,tasklamp
19/3/20,00:56:25,1584579385.0,0.0,tasklamp_5,tasklamp
19/3/20,00:57:24,1584579444.0,0.0,tasklamp_5,tasklamp
19/3/20,00:58:23,1584579503.0,0.0,tasklamp_5,tasklamp
19/3/20,00:59:24,1584579564.0,0.0,tasklamp_5,tasklamp
19/3/20,01:00:25,1584579625.0,0.0,tasklamp_5,tasklamp
19/3/20,01:01:24,1584579684.0,0.0,tasklamp_5,tasklamp
19/3/20,01:02:24,1584579744.0,0.0,tasklamp_5,tasklamp
19/3/20,01:03:24,1584579804.0,0.0,tasklamp_5,tasklamp
19/3/20,01:04:24,1584579864.0,0.0,tasklamp_5,tasklamp
19/3/20,01:06:26,1584579986.0,0.0,tasklamp_5,tasklamp
19/3/20,01:07:24,1584580044.0,0.0,tasklamp_5,tasklamp
